index,creative,answer_time_90,survey_created,wave,version,survey_end_time,survey_start_time,answer_time_75,userid,answer_time_median,answer_time_min,surveyid,shortcode,survey_duration,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a3,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a4,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a5,a50,a51,a52,a6,a7,a8,a9,age,consent,default_tys,education,gender,location,occupation,religion,state,ability,motivation,vaccinated,fully_vaccinated
446,vlab-nigeria-hw-generic-2,47.1495,2021-05-25 01:55:15.381+00:00,0,19,2021-06-28 07:42:29.667000+00:00,2021-06-28 07:21:20.788000+00:00,26.3835,de0f8c05aeb3e80b1d47c04cfa542f88dd2a8660b4c9ac4f165967dd6f03b628,14.487000000000002,6.8020000000000005,b43cefd2-9965-4869-8494-99a700a20833,HCP,1268.879,Extremely important,A moderate amount,"International Organizations like CDC, WHO",Not at all,"Yes, somewhat",No,,No access to vaccine,Agree,Strongly disagree,Agree,Strongly disagree,"I will take it, but want to wait and see",,A bit difficult,Don’t know/Can’t say,Moderately safe,Very important,Very important,Yes,5,Yes,TV and from friends and family,Many were not sure of the source of the vaccine,Yes,Catching up with friends and information.,No,,,Yes,Catching up with friends,Private,No,,,Yes,Videos,Yes,No,Yes,No,,,,,,No,Moderately concerned,Yes,No,18-29 years,Accept,,Bachelors,Man,North Central (Middle Belt),Laboratory staff,Other Christian,FCT,False,True,False,False
332,vlab-nigeria-hw-generic-1,32.722,2021-05-25 01:55:15.381+00:00,0,19,2021-06-25 20:24:52.567000+00:00,2021-06-25 20:09:46.154000+00:00,24.714000000000002,6a5de697cd356f9a1fa4f4cdefbba4df6debcab6bc76530bce4034c63feca344,19.055,9.348,b43cefd2-9965-4869-8494-99a700a20833,HCP,906.413,Extremely important,A great deal,Nigerian Center for Disease Control (NCDC),Don’t know / Can’t say,"Yes, definitely",No,,No finance,Strongly agree,Disagree,Disagree,Disagree,"I will take it, but want to wait and see",,Very difficult,Don’t know/Can’t say,Very safe,Very important,Very important,Not sure,1yr,No,,,Yes,Catching up with friends,Yes,Don’t remember,Yes,Yes,Catching up with friends,Private,No,,,Yes,Watching videos,No,,,No,,,,,,No,Very concerned,No,No,30-39 years,Accept,,,Woman,South South (Niger Delta),Laboratory staff,,,False,True,False,False
599,vlab-nigeria-hw-ppmv-1,23.308,2021-05-25 01:55:15.381+00:00,0,19,2021-06-28 10:55:37.188000+00:00,2021-06-28 10:43:13.520000+00:00,17.059,37205adfa5f54f515bc285857f0126700b9ede04b39f6fe6d8b52468ad87ec21,12.818000000000001,7.7170000000000005,b43cefd2-9965-4869-8494-99a700a20833,HCP,743.668,Extremely important,A great deal,TV,Not at all,"Yes, somewhat",No,,Not available,Agree,Neither agree nor disagree,Disagree,Strongly disagree,I will immediately take it,No,Very difficult,Moderately,Moderately safe,Very important,Moderately important,Yes,10,Yes,Side-effects,Side-effects,Yes,Posting,Yes,No,Yes,Yes,Chatting,Private,Yes,Yes,Yes,Yes,Getting healthcare information,Yes,Don’t remember,Yes,No,,,,,,Yes,Moderately concerned,No,No,30-39 years,Accept,,Bachelors,Woman,South West,PPMV/chemists,Other Christian,Lagos,False,True,False,False
189,,873.2467000000001,2021-05-25 01:55:15.381+00:00,0,19,2021-06-16 07:34:55.091000+00:00,2021-06-16 03:44:47.444000+00:00,339.49850000000004,57c5a230844e83a52212ef40fb0facb187957acd40d3ea94e834bd340290f45c,20.512500000000003,6.282,b43cefd2-9965-4869-8494-99a700a20833,HCP,13807.647,Moderately important,A moderate amount,Online Social Media,"Yes, definitely","Yes, definitely","Yes, first dose only",To prevent COVID-19 from spreading,,,,,,,,Very difficult,Moderately,Moderately safe,Moderately important,Moderately important,Yes,2,Yes,Better,Good,Yes,Friendship,Yes,Yes,Yes,Yes,Family,Public,Yes,Yes,Yes,Yes,Injoy,Yes,Yes,Yes,Yes,Politics,Secondary healthcare facility,Yes,Yes,Yes,Yes,Not at all concerned,Yes,Yes,18-29 years,Accept,,Other,Man,North West,Other public health practitioner,Other,Utter Pradesh,False,False,True,False
270,vlab-nigeria-hw-chw-1,69.56380000000003,2021-05-25 01:55:15.381+00:00,0,19,2021-06-29 13:05:50.116000+00:00,2021-06-29 12:45:36.806000+00:00,19.5625,1ca035162c0f39c96c9ddb5e232613dc97d8ea81caae6747c9a12206d906dba6,14.103000000000002,7.446000000000001,b43cefd2-9965-4869-8494-99a700a20833,HCP,1213.31,Moderately important,A great deal,Nigerian Center for Disease Control (NCDC),Not at all,"Yes, somewhat","Yes, first dose only",My duty to get vaccinated to protect patients,,,,,,,,Quite easy,A little,A little safe,Very important,Very important,Yes,4years,No,,,Yes,Catching up with friends and getting information,No,,,Yes,Chatting with friends and catching up with other stuffs,Private,Don’t remember,,,No,,,,,Don't have account,,,,,,Yes,A little concerned,No,No,18-29 years,Accept,,Bachelors,Man,South East,Nurse or midwife,Islam,Lagos,True,True,True,False
149,,50.65440000000001,2021-05-25 01:55:15.381+00:00,0,19,2021-06-25 18:01:47.723000+00:00,2021-06-25 17:40:55.784000+00:00,37.192,229ca016ac723def3664ecfd42bb9ca57170145c8b4acf9fb64af0de41e32d3c,21.498,7.3420000000000005,b43cefd2-9965-4869-8494-99a700a20833,HCP,1251.939,Extremely important,A moderate amount,Nigerian Center for Disease Control (NCDC),"Yes, definitely","Yes, definitely",No,,Less proximity from the virus.,Agree,Disagree,Disagree,Strongly disagree,Very unlikely to take it,,Don’t know/Can’t say,Don’t know/Can’t say,Don’t know/Can’t say,Moderately important,A little important,Yes,7years,Yes,In my working place,Its effectiveness,Yes,"Getting important information including healthcare,security,economy etc.",Yes,No,Yes,Yes,Catching up with friends,Public,No,,,No,,,,,No,,Secondary healthcare facility,,,,No,Very concerned,No,No,30-39 years,Accept,,Bachelors,Man,North West,Laboratory staff,Islam,Kd,False,False,False,False
589,vlab-nigeria-hw-ppmv-1,20.924,2021-05-25 01:55:15.381+00:00,0,19,2021-06-27 20:57:46.091000+00:00,2021-06-27 20:46:43.320000+00:00,15.983,03712b83911ccb5791fafced85b974fcf182a031b522f355d8d2cc4c98567938,12.951,6.876,b43cefd2-9965-4869-8494-99a700a20833,HCP,662.771,Not at all important,A little,Clergy/Religious leaders,Don’t know / Can’t say,Don’t know / Can’t say,No,,In perfect condition,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Very unlikely to take it,,Don’t know/Can’t say,Not at all,Not at all safe,Not at all important,Not at all important,Not sure,H,Yes,"Social media, News",Don't trust it,Yes,Watching videos,Don’t remember,,,Yes,Communication,Public,No,,,Yes,Watching videos,Yes,No,No,No,,Administrative setting,,,,No,Moderately concerned,No,No,30-39 years,Accept,,Bachelors,Man,North Central (Middle Belt),Community health worker,Other,Abuja,False,False,False,False
115,,37.96020000000002,2021-05-25 01:55:15.381+00:00,0,19,2021-07-05 16:10:56.454000+00:00,2021-07-05 15:56:49.210000+00:00,20.208000000000002,7fc357493e93546670ccf8cb84059ee1d11634c34c7c0bf0739ac9e34116c57d,12.917000000000002,4.758,b43cefd2-9965-4869-8494-99a700a20833,HCP,847.244,Extremely important,A great deal,Nigerian Center for Disease Control (NCDC),"Yes, definitely","Yes, definitely",No,,Am not infected,Disagree,Disagree,Disagree,Disagree,I will immediately take it,No,Very easy,Very much,Very safe,Very important,Very important,Yes,A,Yes,Internet,The vaccine is very crucial to individuals,No,,,,,No,,Private,,,,No,,,,,No,,,,,,No,A little concerned,No,No,18-29 years,Accept,,Masters,Man,South East,Medical doctor,Other Christian,Osun state,True,True,False,False
262,vlab-nigeria-hw-chw-1,53.38460000000001,2021-05-25 01:55:15.381+00:00,0,19,2021-06-26 17:12:46.195000+00:00,2021-06-26 16:58:00.081000+00:00,29.8395,359ae04d6f23ec0a5c8d273fb0ab2ea0cbd8189c5fdca56a57940a990ae143f1,18.004,6.889,b43cefd2-9965-4869-8494-99a700a20833,HCP,886.114,Extremely important,A great deal,Newspaper,"Yes, definitely","Yes, definitely","Yes, both doses",To prevent COVID-19 from spreading,,,,,,,,Very easy,Very much,Very safe,Very important,Very important,Yes,11years,No,,,Yes,Catching up with friends,No,,,Yes,Catching up with friends,Private,No,,,No,,,,,No,,,,,,No,Very concerned,No,No,30-39 years,Accept,,Diploma,Woman,South West,Nurse or midwife,Other Christian,Oyo state,True,True,True,True
569,vlab-nigeria-hw-nurse-1,38.500899999999994,2021-05-25 01:55:15.381+00:00,0,19,2021-06-25 17:54:43.757000+00:00,2021-06-25 17:37:19.588000+00:00,18.105,cf8b8f976ade800fc028bce3425e9b485c9c63f40ec556679b02e008d6556cf2,12.3615,6.746,b43cefd2-9965-4869-8494-99a700a20833,HCP,1044.169,Extremely important,A moderate amount,Nigerian Center for Disease Control (NCDC),"Yes, somewhat","Yes, somewhat","Yes, both doses",To protect myself and my family,,,,,,,,Quite easy,Moderately,Very safe,Very important,Very important,Yes,7,Yes,"At my place of work, reactions like itching at injection site and fatigue",Itching at the injection site and fatigue,Yes,Getting information,Yes,Don’t remember,Yes,Yes,Catching up with Friends,Public,Yes,Yes,Yes,No,,,,,No,,Primary healthcare facility,,,,No,Very concerned,No,No,18-29 years,Accept,,Bachelors,Woman,South West,Nurse or midwife,Other Christian,Ondo,True,True,True,True
151,,50.854,2021-05-25 01:55:15.381+00:00,0,19,2021-06-28 19:30:21.498000+00:00,2021-06-28 06:59:49.743000+00:00,22.658,504713c1b08ec6866a39be55a67ff162a05423f90d46abc4a1b3089add5963cd,16.8305,6.992,b43cefd2-9965-4869-8494-99a700a20833,HCP,45031.755,Extremely important,A great deal,NPHCDA,"Yes, definitely","Yes, definitely","Yes, first dose only",To prevent COVID-19 from spreading,,,,,,,,Very easy,Very much,Very safe,Moderately important,Very important,Yes,8,Yes,"From neighbours, saying they didnt trust the vaccine, but i educate them on the importance of it.",As i wrote above,Yes,To get important informations and catching with friends.,Yes,Yes,Yes,Yes,"I get special messages and informations from close freinds and relatives, then various groups.",Public,Yes,Yes,Yes,Yes,"Watching videos, including health related videos",Yes,Yes,Yes,No,,Tertiary healthcare facility,,,,No,Very concerned,Yes,No,30-39 years,Accept,,Other,Woman,North East,Nurse or midwife,Islam,Borno state,True,False,True,False
258,vlab-nigeria-hw-chw-1,47.8328,2021-05-25 01:55:15.381+00:00,0,19,2021-06-26 06:33:48.628000+00:00,2021-06-26 06:15:08.442000+00:00,32.7345,e465e5b2a9f897f8e0da580a0f460f4ebfced8986bd3667d4cfaf65cec0878b7,21.519000000000002,7.888000000000001,b43cefd2-9965-4869-8494-99a700a20833,HCP,1120.186,Extremely important,Not at all,Online Social Media,Don’t know / Can’t say,"Yes, somewhat",No,,Don't have access to it,Neither agree nor disagree,Disagree,Disagree,Disagree,I will immediately take it,No,Very difficult,Moderately,Moderately safe,Very important,Very important,Yes,,No,,,Yes,Catching up with friends,Yes,Don’t remember,No,Yes,Catching up with friends,Private,No,,,No,,,,,No,,,,,,No,Very concerned,No,Yes,30-39 years,Accept,,Diploma,Man,North West,Laboratory staff,Other Christian,Bauchi,False,True,False,False
567,vlab-nigeria-hw-nurse-1,36.49839999999999,2021-05-25 01:55:15.381+00:00,0,19,2021-06-26 08:12:22.714000+00:00,2021-06-26 07:57:45.929000+00:00,22.055,8dcef6ef09208634b7d51be1b14f1e2e1d7f2bee9ac9555381edf9a54e39cea3,12.79,5.2540000000000004,b43cefd2-9965-4869-8494-99a700a20833,HCP,876.785,Extremely important,A great deal,"International Organizations like CDC, WHO","Yes, somewhat","Yes, somewhat",No,,not enough research on effects on breastfeeding mothers  and babies which am one,Strongly agree,Disagree,Agree,Strongly disagree,Unsure,,Don’t know/Can’t say,Don’t know/Can’t say,Don’t know/Can’t say,Very important,Moderately important,Yes,8,Yes,my concerns are the clotting issues aarising and reinfection of vaccinated fellows,reinfection after vaccination and why so,Yes,information related to health and catching up with friends,Don’t remember,,,Yes,information and catching up with friends,Private,No,,,No,,,,,No,,,,,,No,Moderately concerned,No,Not sure,30-39 years,Accept,,Bachelors,Woman,South East,Nurse or midwife,Catholic,fct abuja,False,True,False,False
106,,35.31180000000002,2021-05-25 01:55:15.381+00:00,0,19,2021-06-25 18:58:14.224000+00:00,2021-06-25 18:46:13.357000+00:00,24.066000000000003,adaa35a0ecfef921b89b3920832a3cbc87e76c2dc63e450dbc1652d94108e21e,14.618,7.213,b43cefd2-9965-4869-8494-99a700a20833,HCP,720.867,Extremely important,A moderate amount,"International Organizations like CDC, WHO","Yes, definitely","Yes, definitely","Yes, both doses",To prevent COVID-19 from spreading,,,,,,,,Very easy,Very much,Very safe,Very important,Very important,Yes,21years,No,,,Yes,Catching up with friends,Yes,Yes,Yes,Yes,"Catching up with friends, watching videos, etc",Public,No,,,No,,,,,No,,Tertiary healthcare facility,,,,No,Very concerned,No,No,40-49 years,Accept,,Bachelors,Woman,South West,Nurse or midwife,Other Christian,Oyo,True,True,True,True
574,vlab-nigeria-hw-nurse-1,42.85650000000001,2021-05-25 01:55:15.381+00:00,0,19,2021-06-26 05:45:49.761000+00:00,2021-06-26 05:24:49.062000+00:00,30.29775,f0f2e29901e31c019f114e7280a7fd19b6a2b56f188cba187f11d3783637b817,20.3425,8.556000000000001,b43cefd2-9965-4869-8494-99a700a20833,HCP,1260.699,Extremely important,A moderate amount,"International Organizations like CDC, WHO",Don’t know / Can’t say,Don’t know / Can’t say,No,,"Because, i have not had chance to go to the vaccine center",Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,"I will take it, but want to wait and see",,Don’t know/Can’t say,Don’t know/Can’t say,Don’t know/Can’t say,Moderately important,Moderately important,Yes,Three years,Yes,In the Hospital,Can't say,Yes,Catching with friends and family,Don’t remember,,,Yes,Catching with friends and family,Private,Don’t remember,,,Yes,Watching videos,Don’t remember,,,No,,,,,,No,Very concerned,No,No,18-29 years,Accept,,Diploma,Woman,South South (Niger Delta),Laboratory staff,Catholic,Delta state,False,False,False,False
443,vlab-nigeria-hw-generic-2,45.243100000000005,2021-05-25 01:55:15.381+00:00,0,19,2021-06-26 06:40:47.305000+00:00,2021-06-26 06:23:53.023000+00:00,25.82125,1af4a59013b807af66153fca819e14dd5b545bcda63d74fddb878a2db6a6839b,18.86,8.579,b43cefd2-9965-4869-8494-99a700a20833,HCP,1014.282,Extremely important,A moderate amount,Nigerian Center for Disease Control (NCDC),"Yes, definitely","Yes, definitely","Yes, first dose only",To prevent COVID-19 from spreading,,,,,,,,Quite easy,Very much,Very safe,Very important,Very important,Yes,5years,Yes,A friend of mine,Feverish after taking,Yes,Getting informations keep me updated,Yes,No,Yes,Yes,Catching up with friends and getting information,Public,No,,,No,,,,,Yes,Catching up with friends and getting information,Primary healthcare facility,Yes,Yes,No,No,Very concerned,No,No,30-39 years,Accept,,Diploma,Man,South West,Community health worker,Islam,Lagos,True,True,True,False
608,vlab-nigeria-hw-ppmv-1,26.338700000000003,2021-05-25 01:55:15.381+00:00,0,19,2021-06-25 20:59:12.312000+00:00,2021-06-25 20:48:47.786000+00:00,13.813000000000002,9e6494a5903a34fe46262df676e4ddfbb04d7732dc4da02a99c78996caa4f13b,11.1745,6.914000000000001,b43cefd2-9965-4869-8494-99a700a20833,HCP,624.526,Extremely important,A moderate amount,"International Organizations like CDC, WHO","Yes, somewhat","Yes, somewhat","Yes, both doses",To prevent COVID-19 from spreading,,,,,,,,Very easy,Very much,Very safe,Very important,Very important,Yes,5,Yes,"As a first hand experience, I had an episode of very high fever and internal heat that persisted for about 24 hours post vaccination",High fever,Yes,Catching up with friends and getting healthcare related and other information,Yes,Yes,Yes,Yes,Catching up with friends and getting healthcare and other information,Public,No,,,No,,,,,No,,Secondary healthcare facility,,,,No,Very concerned,No,Not sure,30-39 years,Accept,,Bachelors,Man,North Central (Middle Belt),Pharmacist,Catholic,Plateau,True,True,True,True
132,,43.7294,2021-05-25 01:55:15.381+00:00,0,19,2021-06-29 11:28:10.080000+00:00,2021-06-29 11:11:32.528000+00:00,26.1385,4ed1e595aac55008554bbdcbbbf220366583d317e6180c2622098da2dfea497c,18.085500000000003,7.1850000000000005,b43cefd2-9965-4869-8494-99a700a20833,HCP,997.552,Extremely important,A moderate amount,Nigerian Center for Disease Control (NCDC),"Yes, definitely","Yes, definitely",No,,I don't want,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,Very unlikely to take it,,Don’t know/Can’t say,A little,Not at all safe,Not at all important,Not at all important,Not sure,2,No,,,Yes,Catching up with friend's,Yes,Yes,Yes,No,,Private,,,,Yes,Watching videos,No,,,No,,,,,,No,Very concerned,No,No,40-49 years,Accept,,Diploma,Man,North West,Community health worker,Catholic,Sokoto,False,False,False,False
238,vlab-nigeria-hw-chw-1,31.555600000000013,2021-05-25 01:55:15.381+00:00,0,19,2021-06-30 13:44:51.738000+00:00,2021-06-30 13:31:33.210000+00:00,20.240000000000002,b1a55687312ede134829a6643bb8cb255511e9ffa94a916b1a67e9362f53181c,16.018,6.7780000000000005,b43cefd2-9965-4869-8494-99a700a20833,HCP,798.528,Extremely important,A great deal,Nigerian Center for Disease Control (NCDC),"Yes, somewhat","Yes, somewhat","Yes, both doses",To prevent COVID-19 from spreading,,,,,,,,A bit difficult,Moderately,Very safe,Very important,Very important,Yes,10yrs,No,,,Yes,Looking for job opportunity,Yes,Yes,Yes,Yes,Job opportunity,Private,Yes,Yes,Yes,Yes,Watching video,Yes,Yes,Yes,Don't have account,,,,,,No,Very concerned,No,No,30-39 years,Accept,,Bachelors,Woman,North West,Nurse or midwife,Other Christian,Kwara,False,True,True,True
659,vlab-nigeria-hw-ppmv-1,54.31320000000001,2021-05-25 01:55:15.381+00:00,0,19,2021-06-30 09:47:29.656000+00:00,2021-06-30 09:23:18.993000+00:00,44.8175,333ddd2780ac3e6344eda9a119ffc27eaba329a563ef2fbec8ea265249c96a9f,24.183,7.132000000000001,b43cefd2-9965-4869-8494-99a700a20833,HCP,1450.663,Extremely important,A moderate amount,Radio,"Yes, definitely","Yes, definitely",No,,I don't know where I can take it,Disagree,Disagree,Disagree,Disagree,I will immediately take it,Don’t know where to register,A bit difficult,Very much,Very safe,Very important,Very important,Yes,5,Yes,On radio and television,"That if you take it, you will die after two years",Yes,Getting informations and chatting,No,,,Yes,Chatting and getting information,Private,No,,,No,,,,,No,,,,,,No,Moderately concerned,No,No,30-39 years,Accept,,Diploma,Man,South East,Other public health practitioner,Other Christian,Ekiti,False,True,False,False
173,,73.79190000000006,2021-05-25 01:55:15.381+00:00,0,19,2021-06-26 16:58:12.473000+00:00,2021-06-26 16:18:13.347000+00:00,37.928250000000006,d9b681ecca40580fd38f47e600282b946d4d780884fc9409e9643c6318184c48,24.780500000000004,9.278,b43cefd2-9965-4869-8494-99a700a20833,HCP,2399.126,Moderately important,A great deal,"International Organizations like CDC, WHO","Yes, somewhat","Yes, definitely",No,,I don't Nigeria government,Disagree,Disagree,Agree,Disagree,"I will take it, but want to wait and see",,A bit difficult,A little,A little safe,Very important,Moderately important,Not sure,15yrs,Yes,A friend working at general hospital,Feverish condition and body pains,Yes,I reach out with people and hoping for international business in the future,Yes,Yes,Yes,Yes,For business and reaching out with friends and colleagues,Private,No,,,No,,,,,No,,,,,,No,Very concerned,No,No,30-39 years,Accept,,Bachelors,Man,South West,Laboratory staff,Islam,Lagos,False,True,False,False
99,,33.649800000000006,2021-05-25 01:55:15.381+00:00,0,19,2021-06-25 22:27:13.007000+00:00,2021-06-25 22:14:19.202000+00:00,17.26,b05b51f2213809df6703f492d607c6c18e18541b25ade2fbca19b1b390b3a7ff,11.879000000000001,6.056,b43cefd2-9965-4869-8494-99a700a20833,HCP,773.805,Extremely important,A great deal,Nigerian Center for Disease Control (NCDC),"Yes, definitely","Yes, definitely","Yes, first dose only",To protect myself and my family,,,,,,,,Quite easy,Very much,Very safe,Very important,Very important,Yes,5,Yes,Heard of some complications after taking the vaccine,That people that are immunosuppressed might develop certain reactions like people living with blood pressure n diabetes,Yes,Getting informations and getting to know more around me,Yes,Yes,Yes,Yes,Healthcare informations,Private,Yes,Yes,Yes,Yes,Watching vidoes,Yes,Yes,Yes,No,,,,,,No,Very concerned,No,No,40-49 years,Accept,,Bachelors,Man,South West,Laboratory staff,Other Christian,Lagos,True,True,True,False
131,,43.25920000000001,2021-05-25 01:55:15.381+00:00,0,19,2021-06-26 22:39:21.714000+00:00,2021-06-26 22:26:03.405000+00:00,23.3775,9c3adff8f133a47b3f9ea1f59a7a5e37d5eaae36e77f42294dad946b74128a6a,15.775000000000002,8.226,b43cefd2-9965-4869-8494-99a700a20833,HCP,798.309,Moderately important,A moderate amount,Nigerian Center for Disease Control (NCDC),"Yes, somewhat","Yes, somewhat","Yes, first dose only",To protect myself and my family,,,,,,,,Quite easy,Moderately,Moderately safe,Moderately important,Very important,Yes,13years,Yes,"From clients, thought it's dangerous for their health",Complaints of general body ache for 3days after receiving  vaccine,Yes,Getting healthcare information,No,,,Yes,Getting healthcare information,Public,No,,,No,,,,,No,,Tertiary healthcare facility,,,,No,Moderately concerned,No,No,30-39 years,Accept,,Bachelors,Woman,South West,Nurse or midwife,Islam,Ogun,True,False,True,False
103,,34.824000000000005,2021-05-25 01:55:15.381+00:00,0,19,2021-06-27 20:19:37.504000+00:00,2021-06-27 20:06:38.127000+00:00,17.081,96e25f24acf0c578647ab8a951202c96797cde15ffaddbb529f38e1b02ae2c81,12.609,6.871,b43cefd2-9965-4869-8494-99a700a20833,HCP,779.377,Extremely important,A great deal,"International Organizations like CDC, WHO","Yes, somewhat","Yes, somewhat","Yes, both doses",To prevent COVID-19 from spreading,,,,,,,,Very difficult,Don’t know/Can’t say,Don’t know/Can’t say,Very important,Very important,Yes,6yrs,Yes,Some of the immediate adverse effects are worrisome and we have no idea of  the long term adverse effect yet,Some of the immediate adverse effects are worrisome and we have no idea of  the long term adverse effect yet,Yes,"For chatting with friends,  getting latest information around the globe  etc",Yes,Don’t remember,Yes,Yes,"Chatting with colleagues and friends,  for group discussions,  viewing of status etc",Private,Yes,Yes,Yes,No,,,,,No,,,,,,No,Very concerned,No,No,30-39 years,Accept,,Bachelors,Man,North Central (Middle Belt),Medical doctor,Other Christian,Fct,False,True,True,True
188,,619.3350000000002,2021-05-25 01:55:15.381+00:00,0,19,2021-06-28 23:07:56.926000+00:00,2021-06-28 19:54:27.819000+00:00,252.923,59c70df38c3d8401114db126cebaa7843300fcd4bd724cec3ca46c55ec5b93cc,23.956000000000003,7.175000000000001,b43cefd2-9965-4869-8494-99a700a20833,HCP,11609.107,Extremely important,A little,"International Organizations like CDC, WHO","Yes, definitely","Yes, somewhat","Yes, first dose only",To prevent COVID-19 from spreading,,,,,,,,A bit difficult,A little,A little safe,A little important,A little important,Yes,Like 6,Yes,On a buss,Worried,Yes,Catching up with friends,Yes,Yes,Yes,Yes,Both,Private,Yes,Yes,Yes,Yes,Both,Yes,No,Yes,No,,,,,,No,Very concerned,No,No,30-39 years,Accept,,Secondary school,Man,South West,Community health worker,Islam,Lagos,False,False,True,False
211,vlab-nigeria-hw-chw-1,23.534900000000004,2021-05-25 01:55:15.381+00:00,0,19,2021-06-26 16:18:14.779000+00:00,2021-06-26 16:08:16.036000+00:00,17.4775,a11bc89c354384177872b8594e588fa633472e3ac7e6c4c85a166521121b6c4a,12.0365,6.541,b43cefd2-9965-4869-8494-99a700a20833,HCP,598.743,Extremely important,A moderate amount,"International Organizations like CDC, WHO","Yes, definitely","Yes, somewhat","Yes, both doses",To protect myself and my family,,,,,,,,Quite easy,Moderately,Moderately safe,Moderately important,Moderately important,Yes,8 years,No,,,Yes,Getting health care information,Yes,Yes,Yes,Yes,Catching up with friends,Public,Yes,Yes,Yes,No,,,,,No,,Primary healthcare facility,,,,No,Moderately concerned,No,No,18-29 years,Accept,,Bachelors,Man,South West,Other public health practitioner,Other Christian,Oyo,True,False,True,True
181,,98.4664000000001,2021-05-25 01:55:15.381+00:00,0,19,2021-06-25 18:28:37.521000+00:00,2021-06-25 17:43:37.448000+00:00,53.729000000000006,a9536deba4e97e8f58ad1928f44c8f26d8ee12ada76ec72a2e108e8150eafa52,31.3585,6.529000000000001,b43cefd2-9965-4869-8494-99a700a20833,HCP,2700.073,Extremely important,A moderate amount,Nigerian Center for Disease Control (NCDC),"Yes, definitely","Yes, definitely",No,,But if I have the opportunity I will take the vaccine,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I will immediately take it,No,Very difficult,A little,A little safe,A little important,Very important,Yes,2,Yes,No,Am done with the question on covid-19,No,,,,,No,,Public,,,,No,,,,,No,,Tertiary healthcare facility,,,,No,A little concerned,Yes,No,30-39 years,Accept,,Diploma,Man,North Central (Middle Belt),Laboratory staff,Other Christian,Yobe,False,False,False,False
407,vlab-nigeria-hw-generic-2,31.32239999999999,2021-05-25 01:55:15.381+00:00,0,19,2021-06-29 01:17:32.503000+00:00,2021-06-29 01:05:54.629000+00:00,22.78,14ed4e6fdf579ea1fecb466fa1632cb46e9179eda2aee18d65105283defe0fc1,16.917,8.51,b43cefd2-9965-4869-8494-99a700a20833,HCP,697.874,Moderately important,A moderate amount,Nigerian Center for Disease Control (NCDC),"Yes, definitely","Yes, definitely","Yes, both doses",To protect myself and my family,,,,,,,,Quite easy,Very much,Very safe,Very important,Very important,Yes,2years,Yes,Social media,Swollen of the face,Yes,All of the above,Don’t remember,,,Yes,Catching up with friends,Private,No,,,No,,,,,No,,,,,,No,Very concerned,No,No,18-29 years,Accept,,Diploma,Woman,North Central (Middle Belt),Pharmacist,Islam,Adamawa,True,True,True,True
356,vlab-nigeria-hw-generic-1,48.72280000000001,2021-05-25 01:55:15.381+00:00,0,19,2021-06-25 17:24:50.945000+00:00,2021-06-25 17:10:13.805000+00:00,20.835,a2a7ff6d2788026a2ab34458f6a7e601a2b0174924a074ca6a7a3e4fa95feed2,10.768,6.710000000000001,b43cefd2-9965-4869-8494-99a700a20833,HCP,877.14,Extremely important,A little,Nigerian Center for Disease Control (NCDC),"Yes, definitely",Not at all,"Yes, both doses",My duty to get vaccinated to protect patients,,,,,,,,Quite easy,Moderately,Very safe,Very important,Very important,Yes,2,Yes,From other health workers,"Side effects like pain at the site, fever, body aches, body weaknesses",Yes,News and medical information,Yes,Yes,Yes,Yes,All of the above,Private,Yes,No,No,Yes,Information,Yes,No,Yes,No,,,,,,No,Very concerned,No,No,30-39 years,Accept,,Bachelors,Man,North Central (Middle Belt),Medical doctor,Other Christian,FCT,True,True,True,True
231,vlab-nigeria-hw-chw-1,30.497000000000003,2021-05-25 01:55:15.381+00:00,0,19,2021-06-27 16:59:00.640000+00:00,2021-06-27 16:47:49.306000+00:00,16.241,864367db4e513e0c751efe0f835e84444494d121106bb056ebcccaa755e43c6d,12.972000000000001,7.118,b43cefd2-9965-4869-8494-99a700a20833,HCP,671.334,Extremely important,A little,"International Organizations like CDC, WHO","Yes, definitely","Yes, definitely","Yes, both doses",To prevent COVID-19 from spreading,,,,,,,,Very easy,Very much,Very safe,Very important,Very important,Yes,2years during my practical days,Yes,"Federal Medical center, Abeokuta",It saves many lives,Yes,Getting updated on what is happening all over the world,Yes,Yes,Yes,Yes,Health purposes and leisure time,Private,Yes,Yes,Yes,No,,,,,Don't have account,,,,,,No,Very concerned,No,No,30-39 years,Accept,,Other,Woman,North West,Community health worker,Islam,Ogun state,True,True,True,True
